	Stance
1832	AGAINST
1833	NONE
1834	AGAINST
1835	NONE
1836	NONE
1837	NONE
1838	NONE
1839	FAVOR
1840	NONE
1841	NONE
1842	FAVOR
1843	NONE
1844	NONE
1845	AGAINST
1846	NONE
1847	NONE
1848	NONE
1849	AGAINST
1850	AGAINST
1851	NONE
1852	NONE
1853	NONE
1854	FAVOR
1855	NONE
1856	NONE
1857	NONE
1858	NONE
1859	NONE
1860	AGAINST
1861	AGAINST
1862	FAVOR
1863	NONE
1864	FAVOR
1865	FAVOR
1866	NONE
1867	NONE
1868	NONE
1869	NONE
1870	NONE
1871	NONE
1872	NONE
1873	NONE
1874	NONE
1875	AGAINST
1876	FAVOR
1877	NONE
1878	NONE
1879	FAVOR
1880	NONE
1881	AGAINST
1882	NONE
1883	FAVOR
1884	FAVOR
1885	AGAINST
1886	AGAINST
1887	AGAINST
1888	AGAINST
1889	AGAINST
1890	NONE
1891	NONE
1892	FAVOR
1893	FAVOR
1894	AGAINST
1895	AGAINST
1896	NONE
1897	AGAINST
1898	FAVOR
1899	NONE
1900	NONE
1901	NONE
1902	NONE
1903	AGAINST
1904	FAVOR
1905	AGAINST
1906	AGAINST
1907	AGAINST
1908	NONE
1909	FAVOR
1910	NONE
1911	AGAINST
1912	AGAINST
1913	NONE
1914	NONE
1915	AGAINST
1916	NONE
1917	AGAINST
1918	FAVOR
1919	NONE
1920	FAVOR
1921	AGAINST
1922	NONE
1923	AGAINST
1924	NONE
1925	AGAINST
1926	FAVOR
1927	FAVOR
1928	NONE
1929	AGAINST
1930	NONE
1931	AGAINST
1932	NONE
1933	NONE
1934	NONE
1935	NONE
1936	FAVOR
1937	FAVOR
1938	FAVOR
1939	NONE
1940	AGAINST
1941	FAVOR
1942	AGAINST
1943	NONE
1944	AGAINST
1945	AGAINST
1946	AGAINST
1947	NONE
1948	AGAINST
1949	NONE
1950	NONE
1951	NONE
1952	NONE
1953	AGAINST
1954	AGAINST
1955	FAVOR
1956	NONE
1957	NONE
1958	AGAINST
1959	NONE
1960	AGAINST
1961	NONE
1962	NONE
1963	AGAINST
1964	AGAINST
1965	AGAINST
1966	FAVOR
1967	FAVOR
1968	FAVOR
1969	AGAINST
1970	FAVOR
1971	AGAINST
1972	FAVOR
1973	FAVOR
1974	NONE
1975	FAVOR
1976	FAVOR
1977	FAVOR
1978	FAVOR
1979	FAVOR
1980	AGAINST
1981	AGAINST
1982	AGAINST
1983	AGAINST
1984	AGAINST
1985	AGAINST
1986	AGAINST
1987	AGAINST
1988	AGAINST
1989	AGAINST
1990	AGAINST
1991	AGAINST
1992	AGAINST
1993	AGAINST
1994	AGAINST
1995	AGAINST
1996	AGAINST
1997	AGAINST
1998	AGAINST
1999	AGAINST
2000	AGAINST
2001	AGAINST
2002	AGAINST
2003	AGAINST
2004	AGAINST
2005	AGAINST
2006	AGAINST
2007	AGAINST
2008	AGAINST
2009	AGAINST
2010	AGAINST
2011	AGAINST
2012	AGAINST
2013	AGAINST
2014	AGAINST
2015	AGAINST
2016	AGAINST
2017	AGAINST
2018	AGAINST
2019	AGAINST
2020	AGAINST
2021	AGAINST
2022	AGAINST
2023	AGAINST
2024	AGAINST
2025	AGAINST
2026	AGAINST
2027	AGAINST
2028	AGAINST
2029	AGAINST
2030	AGAINST
2031	AGAINST
2032	AGAINST
2033	AGAINST
2034	AGAINST
2035	AGAINST
2036	AGAINST
2037	AGAINST
2038	AGAINST
2039	AGAINST
2040	AGAINST
2041	AGAINST
2042	AGAINST
2043	AGAINST
2044	AGAINST
2045	AGAINST
2046	AGAINST
2047	AGAINST
2048	AGAINST
2049	AGAINST
2050	AGAINST
2051	AGAINST
2052	AGAINST
2053	AGAINST
2054	AGAINST
2055	AGAINST
2056	AGAINST
2057	AGAINST
2058	AGAINST
2059	AGAINST
2060	AGAINST
2061	AGAINST
2062	AGAINST
2063	AGAINST
2064	AGAINST
2065	AGAINST
2066	AGAINST
2067	AGAINST
2068	AGAINST
2069	AGAINST
2070	AGAINST
2071	AGAINST
2072	AGAINST
2073	AGAINST
2074	AGAINST
2075	AGAINST
2076	AGAINST
2077	AGAINST
2078	AGAINST
2079	AGAINST
2080	AGAINST
2081	AGAINST
2082	AGAINST
2083	AGAINST
2084	AGAINST
2085	AGAINST
2086	AGAINST
2087	AGAINST
2088	AGAINST
2089	AGAINST
2090	AGAINST
2091	AGAINST
2092	AGAINST
2093	AGAINST
2094	AGAINST
2095	AGAINST
2096	AGAINST
2097	AGAINST
2098	AGAINST
2099	AGAINST
2100	AGAINST
2101	AGAINST
2102	AGAINST
2103	AGAINST
2104	AGAINST
2105	AGAINST
2106	AGAINST
2107	AGAINST
2108	AGAINST
2109	FAVOR
2110	AGAINST
2111	AGAINST
2112	NONE
2113	NONE
2114	FAVOR
2115	FAVOR
2116	AGAINST
2117	NONE
2118	FAVOR
2119	AGAINST
2120	NONE
2121	AGAINST
2122	AGAINST
2123	AGAINST
2124	AGAINST
2125	AGAINST
2126	AGAINST
2127	AGAINST
2128	AGAINST
2129	AGAINST
2130	FAVOR
2131	AGAINST
2132	AGAINST
2133	NONE
2134	AGAINST
2135	AGAINST
2136	AGAINST
2137	AGAINST
2138	FAVOR
2139	AGAINST
2140	NONE
2141	AGAINST
2142	NONE
2143	NONE
2144	NONE
2145	AGAINST
2146	NONE
2147	AGAINST
2148	AGAINST
2149	NONE
2150	NONE
2151	NONE
2152	NONE
2153	FAVOR
2154	AGAINST
2155	NONE
2156	FAVOR
2157	NONE
2158	AGAINST
2159	AGAINST
2160	NONE
2161	AGAINST
2162	FAVOR
2163	NONE
2164	AGAINST
2165	AGAINST
2166	AGAINST
2167	AGAINST
2168	AGAINST
2169	AGAINST
2170	AGAINST
2171	AGAINST
2172	AGAINST
2173	AGAINST
2174	AGAINST
2175	AGAINST
2176	AGAINST
2177	AGAINST
2178	AGAINST
2179	AGAINST
2180	AGAINST
2181	AGAINST
2182	AGAINST
2183	AGAINST
2184	AGAINST
2185	AGAINST
2186	AGAINST
2187	AGAINST
2188	AGAINST
2189	AGAINST
2190	AGAINST
2191	AGAINST
2192	AGAINST
2193	AGAINST
2194	AGAINST
2195	AGAINST
2196	AGAINST
2197	AGAINST
2198	AGAINST
2199	AGAINST
2200	AGAINST
2201	AGAINST
2202	AGAINST
2203	AGAINST
2204	AGAINST
2205	AGAINST
2206	AGAINST
2207	AGAINST
2208	AGAINST
2209	AGAINST
2210	AGAINST
